ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
191,H 17,455834.485,7656559.902,19334787,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 17,8,5,388374,H 16,NE,6,null,adjacent,null,<300m,± vertical rock,2,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,191
192,H 18,455257.633,7656100.955,19398724,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 18,15,5,486635,H 19,SE,1,null,within shouting distance,null,within shouting distance,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,192
193,H 19,455002.769,7656269.961,19451783,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 19,10,5,486635,H 18,E; S,1; 5; 10; 12,null,>300m,TRUE,within shouting distance,unfavourable,2,<15m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,193
194,H 20,455183.287,7656560.309,19457931,Hungorob,„Main Rock“,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 20,40,4,496045,H 19,SE,1; 5; 12,null,<300m,null,NA,unfavourable,5,NA,marginal,rather nice,none,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,,194
195,H 21,455680.220,7656871.739,19902547,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 21,3,6,3970961,H 20,NE,1,null,<300m,TRUE,adjacent,± vertical rock,10,<15m,isolated,rather nice,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,195
195,H 21,455680.220,7656871.739,19902547,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 21,3,6,3970961,H 20,NE,1,null,<300m,TRUE,adjacent,± vertical rock,10,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,195
196,H 22,456043.560,7656754.477,20505011,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 22,14,5,4078389,H 21,NE,4,TRUE,adjacent,TRUE,within shouting distance,unfavourable,4,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,196
197,H 23,456535.445,7656069.119,2139917,Hungorob,,Toiwo,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 23,16,5,621313,H 24,W,1; 12,null,adjacent,TRUE,adjacent,± vertical rock,6,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,197
198,H 24,456099.740,7656644.086,21413708,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 24,53,4,621313,H 23,SW,1; 5; 12,null,>300m,null,within shouting distance,unfavourable,11,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,198
199,H 25,456215.070,7657503.320,21513338,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 25,9,5,111053,H 23,S,5; 8,null,>300m,TRUE,adjacent,unfavourable,5,<3m,marginal,magnificent,none,disintegration of rock,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,199
199,H 25,456215.070,7657503.320,21513338,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 25,9,5,111053,H 23,S,5; 8,null,>300m,TRUE,adjacent,unfavourable,5,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,199
199,H 25,456215.070,7657503.320,21513338,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 25,9,5,111053,H 23,S,5; 8,null,>300m,TRUE,adjacent,unfavourable,5,<3m,marginal,magnificent,none,vegetation impact,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,199
200,H 26,456683.493,7656375.947,21589423,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 26,13,5,1246169,H 25,W,1,null,>300m,TRUE,within shouting distance,± vertical rock,4,<1m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,200
201,H 27,456481.176,7656038.460,21626171,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 27,9,5,1383558,H 26,NE,1,null,>300m,TRUE,adjacent,± vertical rock,0,<15m,marginal,rather nice,European; Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,201
202,H 28,453564.831,7657927.367,19475695,Hungorob,„Falls Rock Shelter“,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 28,353,2,1940421,H 33,SW,5; 6,TRUE,adjacent,null,>300m,spacious,40,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,202
203,H 29,452559.421,7658481.133,19174884,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 29,46,4,931734,H 30,W,1,null,>300m,TRUE,adjacent,± vertical rock,0,<3m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,203
204,H 30,452533.223,7658778.807,19053537,Hungorob,,Toiwo & Shipahu,01.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 30,31,4,931734,H 29,S,4; 5; 10,null,>300m,null,>300m,unfavourable,8,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,204
205,H 31,452424.638,7658194.340,18739211,Hungorob,,Walter (Recorder),1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 31,53,4,3430036,H 32,NA,5,null,>300m,null,<300m,unfavourable,3,<3m,isolated,rather nice,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site not visited/recorded by TLE,205
206,H 32,452936.999,7658534.568,19344652,Hungorob,,Shipahu,14.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 32,11,5,1955004,H 29,N,3; 4; 5,null,>300m,null,<300m,unfavourable,4,<15m,isolated,poor,European; Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,,206
207,H 33,453123.289,7657293.830,19966769,Hungorob,,Toiwo & Shipahu,03.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 33,21,4,1842429,H 35,W,5; 6,TRUE,adjacent,TRUE,adjacent,unfavourable,3,<15m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,207
208,H 34,453823.516,7658265.424,20080499,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 34,29,4,603353,H 41,N; E,4; 5,null,<300m,TRUE,adjacent,spacious,10,>15m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,208
209,H 35,453328.187,7657246.428,20005756,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 35,70,3,791009,H 36,W,5; 6,TRUE,adjacent,TRUE,adjacent,unfavourable,0,<3m,central,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,209
209,H 35,453328.187,7657246.428,20005756,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 35,70,3,791009,H 36,W,5; 6,TRUE,adjacent,TRUE,adjacent,unfavourable,0,<3m,central,rather nice,none,vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,,209
210,H 36,453709.904,7657908.711,19919193,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 36,54,4,791009,H 35,S,5; 6,null,adjacent,TRUE,adjacent,unfavourable,6,<3m,central,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,210
211,H 37,453776.687,7657849.934,20048205,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 37,60,3,40517,H 38,W,5,null,<300m,null,within shouting distance,unfavourable,5,<3m,marginal,poor,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,211
212,H 38,453621.526,7657290.551,20051046,Hungorob,,Toiwo & Shipahu,17.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 38,13,5,40517,H 37,NE,1,null,<300m,TRUE,adjacent,± vertical rock,0,<3m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,212
213,H 39,453799.390,7657296.963,20076434,Hungorob,,Jipsen,1968?,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 39,6,5,295469,H 135,SW,1,null,<300m,TRUE,adjacent,± vertical rock,3,<15m,marginal,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,,213
214,H 40,453817.294,7658643.401,200544,Hungorob,,Toiwo,22.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 40,37,4,403652,H 41,S,1,null,<300m,TRUE,within shouting distance,± vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,214
215,H 41,453643.089,7658037.426,20095635,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 41,4,6,403652,H 40,S,1,null,<300m,TRUE,adjacent,± vertical rock,4,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,215
216,H 42,453052.271,7658201.978,20124843,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 42,16,5,2384697,H 39,NW,1,null,>300m,null,<300m,spacious,5,<3m,marginal,poor,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,216
216,H 42,453052.271,7658201.978,20124843,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 42,16,5,2384697,H 39,NW,1,null,>300m,null,<300m,spacious,5,<3m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,216
217,H 43,454362.049,7658710.123,21417525,Hungorob,„Schlangenhöhle“,Walter,1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 43,416,1,908616,H 46,W,1; 4; 5; 6; 8; 9; 12,null,adjacent,null,<300m,spacious,45,>15m,marginal,magnificent,Fireplace and Pager's Camp,human impact,masses,NA,NA,NA,NA,NA,NA,NA,NA,,217
217,H 43,454362.049,7658710.123,21417525,Hungorob,„Schlangenhöhle“,Walter,1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 43,416,1,908616,H 46,W,1; 4; 5; 6; 8; 9; 12,null,adjacent,null,<300m,spacious,45,>15m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,,217
218,H 44,453694.653,7658471.106,21377676,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 44,37,4,1234427,H 45,S,4; 5,null,<300m,null,<300m,unfavourable,5,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,218
219,H 45,453374.095,7658415.296,21329664,Hungorob,„Kleyenstübers Kinderstube“,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 45,12,5,908163,H 46,S,3; 4,null,<300m,null,<300m,unfavourable,10,<3m,marginal,magnificent,Fireplace,disintegration of rock,many,NA,NA,NA,NA,NA,NA,NA,NA,,219
219,H 45,453374.095,7658415.296,21329664,Hungorob,„Kleyenstübers Kinderstube“,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 45,12,5,908163,H 46,S,3; 4,null,<300m,null,<300m,unfavourable,10,<3m,marginal,magnificent,Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,219
220,H 46,454133.519,7658937.381,2139387,Hungorob,,With & Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 46,5,5,483789,H 47,N,1,null,<300m,TRUE,adjacent,± vertical rock,2,<3m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,220
221,H 47,454917.027,7658426.424,21405891,Hungorob,,Toiwo & Shipahu,18.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 47,21,4,483789,H 46,W,1,null,<300m,TRUE,within shouting distance,± vertical rock,2,<15m,marginal,rather nice,none,disintegration of rock,few,NA,NA,NA,NA,NA,NA,NA,NA,,221
221,H 47,454917.027,7658426.424,21405891,Hungorob,,Toiwo & Shipahu,18.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 47,21,4,483789,H 46,W,1,null,<300m,TRUE,within shouting distance,± vertical rock,2,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,221
222,H 48,454516.164,7658216.121,2180628,Hungorob,,Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 48,17,5,810215,H 50,SE,1,null,<300m,TRUE,adjacent,± vertical rock,4,<15m,marginal,rather nice,Pager's Camp,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,222
223,H 49,454791.634,7659802.287,2187924,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 49,4,6,414757,H 50,W,1,null,<300m,TRUE,adjacent,± vertical rock,3,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,223
224,H 50,454525.263,7658805.798,21850055,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 50,4,6,414757,H 49,SE,1; 12,null,<300m,TRUE,adjacent,± vertical rock,0,<15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,224
225,H 51,454763.136,7658522.790,21891833,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 51,23,4,3591,H 52,W,5,null,<300m,TRUE,adjacent,unfavourable,4,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,225
226,H 52,454297.807,7658229.884,21896723,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 52,18,5,3591,H 51,SW,5; 10,null,<300m,null,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,,226
227,H 53,454853.042,7658871.342,219892,Hungorob,,Kleyenstüber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 53,10,5,1571137,H 52,NW,3; 4,null,>300m,TRUE,within shouting distance,unfavourable,8,<15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,227
228,H 54,454458.915,7658075.222,22100822,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 54,7,5,1812875,H 53,N,5,null,<300m,null,<300m,unfavourable,4,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,228
229,H 55,454669.211,7659394.321,22198821,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 55,65,3,1761454,H 56,S,3; 4; 5,null,>300m,null,>300m,unfavourable,6,>15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,229
230,H 56,454369.560,7659643.944,22193055,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 56,13,5,1761454,H 55,S,1; 12,null,>300m,TRUE,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,disintegration of rock,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,230
230,H 56,454369.560,7659643.944,22193055,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 56,13,5,1761454,H 55,S,1; 12,null,>300m,TRUE,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,230
231,H 57,454478.552,7659234.059,21939995,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 57,16,5,973557,H 69,SE,4,null,>300m,null,within shouting distance,unfavourable,2,<1m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,231
232,H 58,453911.485,7659192.210,22309022,Hungorob,,H. Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 58,52,4,71262,H 59,N,1,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,2,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,,232
233,H 59,453089.568,7659496.404,22667847,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 59,71,3,71262,H 58,S; SW,4; 5; 6; 12,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,19,<1m,marginal,magnificent,European; Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,233
234,H 60,453498.452,7660512.461,22549146,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 60,24,4,823873,H 62,SE,5,null,<300m,null,>300m,unfavourable,10,<3m,isolated,rather nice,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,234
235,H 61,453324.526,7660858.068,22559604,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 61,7,5,235581,H 60,N,7,null,>300m,null,<300m,unfavourable,3,<3m,isolated,rather nice,none,disintegration of rock,none,NA,NA,NA,NA,NA,NA,NA,NA,,235
235,H 61,453324.526,7660858.068,22559604,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 61,7,5,235581,H 60,N,7,null,>300m,null,<300m,unfavourable,3,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,235
236,H 62,453646.260,7659838.119,22381436,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 62,83,3,823873,H 60,E,1; 4; 12,null,<300m,TRUE,adjacent,unfavourable; ± vertical rock,3,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,236
237,H 63,453269.014,7660164.096,22552496,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 63,38,4,761924,H 64,W,5; 10,null,<300m,TRUE,adjacent,spacious,3,<1m,marginal,poor,none,disintegration of rock,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,237
237,H 63,453269.014,7660164.096,22552496,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 63,38,4,761924,H 64,W,5; 10,null,<300m,TRUE,adjacent,spacious,3,<1m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,237
238,H 64,453332.429,7660539.163,22578832,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 64,15,5,761924,H 63,W,1,null,>300m,TRUE,adjacent,± vertical rock,9,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,238
239,H 65,454122.761,7659219.496,22833574,Hungorob,,Toiwo & Shipahu,03.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 65,15,5,2531008,H 59,NW,1,null,<300m,null,>300m,± vertical rock,3,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,239
240,H 66,454177.586,7660901.666,23008414,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 66,6,5,2702685,H 65,N,1,null,<300m,TRUE,adjacent,± vertical rock,3,>15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,,240
