ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
155,G 11,456760.210,7655739.302,1699.2219,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 11,145,3,174.9027,G 10,S,1; 5; 6; 7; 8; 9; 12,,<300m,,>300m,unfavourable,19,<3m,central,magnificent,Pager's Camp,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
156,G 12,456542.579,7655295.675,1750.9238,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 12,495,1,109.1093,G 13,E; S; W,1; 2; 4; 5; 6; 12,,>300m,True,adjacent,unfavourable,15,>15m,marginal,magnificent,Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
157,G 13,456331.533,7655452.019,1756.1008,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 13,69,3,109.1093,G 12,S,5; 6; 8; 11,,>300m,,within shouting distance,spacious,6,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
158,G 14,455890.983,7655961.310,1957.6419,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 14,2,6,317.126,G 17,SE,5,,within shouting distance,,>300m,unfavourable,6,<3m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
159,G 15,455067.799,7655737.093,1694.9383,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 15,20,4,130.3649,G 16,W,5; 6; 12,,>300m,,>300m,unfavourable,4,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
160,G 16,455587.379,7655404.272,1739.9693,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 16,102,3,130.3649,G 15,N,1; 4; 5; 6,,>300m,,>300m,unfavourable; ± vertical rock,2,<15m,central,magnificent,Fireplace,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
161,G 17,455300.161,7655878.739,1944.4393,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 17,4,6,55.963,G 18,SW,5,,>300m,,>300m,unfavourable,11,<3m,marginal,magnificent,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
162,G 18,455821.862,7655401.920,1918.2533,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 18,3,6,55.963,G 17,S,5,,>300m,,>300m,unfavourable,3,<3m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
163,G 19,455898.997,7655766.819,1784.3071,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 19,41,4,198.8115,G 18,S,5; 6; 11,True,adjacent,,>300m,spacious,12,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
164,G 20,455970.657,7655767.674,1816.8455,Ga'aseb,,Keyenstüber,05.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 20,49,4,299.8973,G 19,N; S,1; 5; 8,,<300m,,>300m,unfavourable; ± vertical rock,4,<15m,marginal,magnificent,Pager's Camp,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
165,G 21,454105.756,7654681.705,1706.1873,Ga'aseb,,J. Toiwo,02.03.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 21,1,6,313.2869,G 22,S,1,,>300m,,>300m,± vertical rock,2,<3m,isolated,magnificent,none,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,undiscovered by TLE
166,G 22,454629.257,7654590.466,1727.0998,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 22,1,6,313.2869,G 21,SE,11,,>300m,,>300m,unfavourable,10,<1m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
167,G 23,456888.483,7652345.353,802.9758,Ga'aseb,,A. Viereck,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 23,9,5,1129.4342,E 8,SW,5; 6,,NA,True,adjacent,unfavourable,5,<15m,isolated,rather nice,none,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
168,G 24,456983.430,7653382.762,1060.7026,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 24,16,5,254.4035,G 30,E,1,,<300m,True,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
169,G 25,454894.011,7654476.212,1605.5015,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 25,4,6,36.0854,G 26,E,4; 5,,>300m,,<300m,unfavourable,4,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
170,G 26,454247.282,7654813.852,1609.4299,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 26,3,6,36.0854,G 25,E; W,1; 5; 12,True,adjacent,,>300m,± vertical rock,2,<15m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
171,G 27,454406.746,7655813.967,1873.6121,Ga'aseb,,H. Roth,03.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 27,5,5,64.1028,G 28,S,5,,>300m,True,within shouting distance,spacious,10,<3m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
172,G 28,454827.605,7655140.351,1864.6546,Ga'aseb,,H. Roth,03.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 28,40,4,64.1028,G 27,S,1,,>300m,True,adjacent,± vertical rock,15,<15m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
173,G 29,454858.877,7655312.040,1911.1124,Ga'aseb,,Toiwo/ Lameka,20.03.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 29,6,5,133.3618,H 1,N,5,,>300m,True,within shouting distance,unfavourable,4,<3m,isolated,magnificent,none,water run-off; vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
174,G 30,456094.658,7653118.587,990.1566,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 30,2,6,254.4035,G 24,W,1,,>300m,True,adjacent,± vertical rock,1,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
175,H 1,454357.369,7655578.106,1898.525,Hungorob,,Toiwo & Shipahu,14.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 1,31,4,84.1926,H 2,NE,5; 8; 12,,>300m,True,within shouting distance,unfavourable,5,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
176,H 2,454001.646,7655908.723,1912.3661,Hungorob,,Toiwo & Shipahu,16.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 2,7,5,84.1926,H 1,NE,1,,>300m,True,adjacent,± vertical rock,1,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
177,H 3,454521.144,7656215.726,1836.8414,Hungorob,,Clauss- Darrer?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 3,234,2,87.9621,H 12,N; S,1; 3; 4; 5; 8; 12,,<300m,True,adjacent,unfavourable; ± vertical rock,32,>15m,central,rather nice,Fireplace and Pager's Camp,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
178,H 4,453991.887,7656218.723,1696.344,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 4,21,4,99.0207,H 5,NE,1,,>300m,True,within shouting distance,± vertical rock,6,>15m,isolated,poor,Pager's Camp,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
179,H 5,453093.852,7656697.226,1689.5064,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 5,17,5,99.0207,H 4,E,5,,>300m,True,adjacent,spacious,5,<3m,isolated,poor,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
180,H 6,453890.707,7656484.764,1676.0539,Hungorob,,Toiwo & Shipahu,22.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 6,10,5,433.9498,H 4,W,4; 5,,>300m,True,within shouting distance,unfavourable,8,<15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
181,H 7,453663.186,7656056.450,1812.5611,Hungorob,,Clauss- Darrer,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 7,14,5,125.0441,H 8,NE,5,,<300m,,<300m,unfavourable,8,<3m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
182,H 8,454982.463,7656840.477,1809.0269,Hungorob,,Toiwo & Shipahu,23.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 8,15,5,125.0441,H 7,NE,4; 5; 12,,<300m,True,adjacent,unfavourable,9,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
183,H 9,454194.870,7656379.032,1836.4513,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 9,101,3,156.8712,H 8,E,4; 5; 8,True,within shouting distance,True,adjacent,unfavourable,6,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
184,H 10,454242.439,7656415.132,1825.1412,Hungorob,,Kleyenstüber,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 10,4,6,138.0581,H 11,S,5; 11,,within shouting distance,,within shouting distance,spacious,8,<1m,marginal,rather nice,European; Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
185,H 11,454861.297,7656419.362,1848.2873,Hungorob,,Toiwo & Shipahu,24.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 11,16,5,138.0581,H 10,SE; W,5; 6; 12,,<300m,,<300m,unfavourable,11,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
186,H 12,454385.636,7656244.485,1842.4261,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 12,5,5,83.8624,H 13,S,1,,<300m,True,adjacent,± vertical rock,2,<3m,marginal,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
187,H 13,454766.339,7656024.247,1846.3151,Hungorob,,Clauss-Darrer,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 13,46,4,83.8624,H 12,SW,5,,<300m,True,within shouting distance,unfavourable,10,<15m,marginal,rather nice,Fireplace,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
188,H 14,454941.642,7656413.841,1863.4667,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 14,11,5,271.1259,H 11,SE,5; 6; 9,,<300m,True,adjacent,spacious,10,<3m,marginal,rather nice,none,none,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
189,H 15,454921.389,7656626.023,1917.9631,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 15,44,4,376.7997,H 16,E; SE,3; 4; 5; 12,,within shouting distance,True,within shouting distance,unfavourable,10,<3m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
190,H 16,455526.688,7656275.695,1924.7999,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 16,29,4,38.8374,H 17,N,5; 6,,>300m,,<300m,unfavourable,3,<3m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
191,H 17,455834.485,7656559.902,1933.4787,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 17,8,5,38.8374,H 16,NE,6,,adjacent,,<300m,± vertical rock,2,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
192,H 18,455257.633,7656100.955,1939.8724,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 18,15,5,48.6635,H 19,SE,1,,within shouting distance,,within shouting distance,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
193,H 19,455002.769,7656269.961,1945.1783,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 19,10,5,48.6635,H 18,E; S,1; 5; 10; 12,,>300m,True,within shouting distance,unfavourable,2,<15m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
194,H 20,455183.287,7656560.309,1945.7931,Hungorob,„Main Rock“,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 20,40,4,49.6045,H 19,SE,1; 5; 12,,<300m,,NA,unfavourable,5,NA,marginal,rather nice,none,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
195,H 21,455680.220,7656871.739,1990.2547,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 21,3,6,397.0961,H 20,NE,1,,<300m,True,adjacent,± vertical rock,10,<15m,isolated,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
196,H 22,456043.560,7656754.477,2050.5011,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 22,14,5,407.8389,H 21,NE,4,True,adjacent,True,within shouting distance,unfavourable,4,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
197,H 23,456535.445,7656069.119,2139.917,Hungorob,,Toiwo,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 23,16,5,62.1313,H 24,W,1; 12,,adjacent,True,adjacent,± vertical rock,6,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
198,H 24,456099.740,7656644.086,2141.3708,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 24,53,4,62.1313,H 23,SW,1; 5; 12,,>300m,,within shouting distance,unfavourable,11,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
199,H 25,456215.070,7657503.320,2151.3338,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 25,9,5,111.053,H 23,S,5; 8,,>300m,True,adjacent,unfavourable,5,<3m,marginal,magnificent,none,disintegration of rock; water run-off; vegetation impact,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
200,H 26,456683.493,7656375.947,2158.9423,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 26,13,5,124.6169,H 25,W,1,,>300m,True,within shouting distance,± vertical rock,4,<1m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
201,H 27,456481.176,7656038.460,2162.6171,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 27,9,5,138.3558,H 26,NE,1,,>300m,True,adjacent,± vertical rock,0,<15m,marginal,rather nice,European; Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
202,H 28,453564.831,7657927.367,1947.5695,Hungorob,„Falls Rock Shelter“,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 28,353,2,194.0421,H 33,SW,5; 6,True,adjacent,,>300m,spacious,40,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
203,H 29,452559.421,7658481.133,1917.4884,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 29,46,4,93.1734,H 30,W,1,,>300m,True,adjacent,± vertical rock,0,<3m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
204,H 30,452533.223,7658778.807,1905.3537,Hungorob,,Toiwo & Shipahu,01.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 30,31,4,93.1734,H 29,S,4; 5; 10,,>300m,,>300m,unfavourable,8,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
205,H 31,452424.638,7658194.340,1873.9211,Hungorob,,Walter (Recorder),1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 31,53,4,343.0036,H 32,NA,5,,>300m,,<300m,unfavourable,3,<3m,isolated,rather nice,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site not visited/recorded by TLE
206,H 32,452936.999,7658534.568,1934.4652,Hungorob,,Shipahu,14.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 32,11,5,195.5004,H 29,N,3; 4; 5,,>300m,,<300m,unfavourable,4,<15m,isolated,poor,European; Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
207,H 33,453123.289,7657293.830,1996.6769,Hungorob,,Toiwo & Shipahu,03.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 33,21,4,184.2429,H 35,W,5; 6,True,adjacent,True,adjacent,unfavourable,3,<15m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
208,H 34,453823.516,7658265.424,2008.0499,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 34,29,4,60.3353,H 41,N; E,4; 5,,<300m,True,adjacent,spacious,10,>15m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
209,H 35,453328.187,7657246.428,2000.5756,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 35,70,3,79.1009,H 36,W,5; 6,True,adjacent,True,adjacent,unfavourable,0,<3m,central,rather nice,none,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
210,H 36,453709.904,7657908.711,1991.9193,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 36,54,4,79.1009,H 35,S,5; 6,,adjacent,True,adjacent,unfavourable,6,<3m,central,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
211,H 37,453776.687,7657849.934,2004.8205,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 37,60,3,40.517,H 38,W,5,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,poor,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
212,H 38,453621.526,7657290.551,2005.1046,Hungorob,,Toiwo & Shipahu,17.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 38,13,5,40.517,H 37,NE,1,,<300m,True,adjacent,± vertical rock,0,<3m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
213,H 39,453799.390,7657296.963,2007.6434,Hungorob,,Jipsen,1968?,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 39,6,5,29.5469,H 135,SW,1,,<300m,True,adjacent,± vertical rock,3,<15m,marginal,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
214,H 40,453817.294,7658643.401,2005.44,Hungorob,,Toiwo,22.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 40,37,4,40.3652,H 41,S,1,,<300m,True,within shouting distance,± vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
215,H 41,453643.089,7658037.426,2009.5635,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 41,4,6,40.3652,H 40,S,1,,<300m,True,adjacent,± vertical rock,4,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
216,H 42,453052.271,7658201.978,2012.4843,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 – Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 42,16,5,238.4697,H 39,NW,1,,>300m,,<300m,spacious,5,<3m,marginal,poor,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
